IdCliente,apoyoTecnico ,serviciosDeAlimentos ,servicioTelefonico ,servicioDeTransporte ,lineasTelefonicas ,serviciosMedicos ,servicioDeInternet ,ServiciosEntrega,seguridadOnline ,serviciosParaMascotas ,copiasDeSeguridad ,serviciosEducativos ,StreamingTV ,servicioProteccio_nMovil ,StreamingMovies 
7590-VHVEG,No,Yes,No,No,No phone service,No,DSL,No,No,Yes,Yes,No,No,No,No
5575-GNVDE,No,Yes,Yes,Yes,No,No,DSL,No,Yes,No,No,No,No,Yes,No
3668-QPYBK,No,Yes,Yes,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No
7795-CFOCW,Yes,Yes,No,No,No phone service,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No
9237-HQITU,No,Yes,Yes,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,No,No,No
9305-CDSKC,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Yes,Yes
1452-KIOVK,No,Yes,Yes,Yes,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,No
6713-OKOMC,No,Yes,No,Yes,No phone service,No,DSL,Yes,Yes,No,No,Yes,No,No,No
7892-POOKP,Yes,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
6388-TABGU,No,Yes,Yes,Yes,No,No,DSL,No,Yes,Yes,Yes,No,No,No,No
9763-GRSKD,No,Yes,Yes,No,No,No,DSL,Yes,Yes,No,No,Yes,No,No,No
7469-LKBCI,No internet service,Yes,Yes,Yes,No,No,No,Yes,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
8091-TTVAX,No,Yes,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes
0280-XJGEX,No,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Yes,Yes
5129-JLPIS,Yes,Yes,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes
3655-SNQYZ,Yes,Yes,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8191-XWSZG,No internet service,No,Yes,No,No,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
9959-WOFKT,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Yes,Yes
4190-MFLUW,Yes,Yes,Yes,No,No,Yes,DSL,Yes,No,No,No,No,No,Yes,No
4183-MYFRB,No,Yes,Yes,No,No,No,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Yes
8779-QRDMV,No,Yes,No,No,No phone service,Yes,DSL,Yes,No,No,No,No,No,Yes,Yes
1680-VDCWW,No internet service,No,Yes,No,No,No,No,No,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
1066-JKSGK,No internet service,No,Yes,No,No,Yes,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
3638-WEABW,Yes,No,Yes,Yes,Yes,No,DSL,Yes,No,No,Yes,No,No,No,No
6322-HRPFA,Yes,Yes,Yes,No,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,No
6865-JZNKO,No,No,Yes,No,No,No,DSL,Yes,Yes,No,Yes,Yes,No,No,No
6467-CHFZW,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,No,Yes
8665-UTDHZ,No,Yes,No,Yes,No phone service,Yes,DSL,Yes,No,Yes,Yes,No,No,No,No
5248-YGIJN,Yes,No,Yes,Yes,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Yes,Yes
8773-HHUOZ,No,Yes,Yes,No,No,No,DSL,Yes,No,No,No,No,Yes,No,Yes
3841-NFECX,Yes,Yes,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,No
4929-XIHVW,No,Yes,Yes,No,No,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes
6827-IEAUQ,Yes,No,Yes,Yes,No,No,DSL,No,Yes,No,Yes,No,No,Yes,No
7310-EGVHZ,No internet service,Yes,Yes,Yes,No,No,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
3413-BMNZE,No,Yes,Yes,No,No,No,DSL,No,No,Yes,No,Yes,No,No,No
6234-RAAPL,Yes,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,No,No
6047-YHPVI,No,No,Yes,No,No,No,Fiber optic,Yes,No,No,No,No,No,No,No
6572-ADKRS,No,Yes,Yes,No,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Yes,No
5380-WJKOV,No,No,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Yes,Yes
8168-UQWWF,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Yes,Yes
8865-TNMNX,No,No,Yes,No,No,Yes,DSL,Yes,No,No,Yes,No,No,No,No
9489-DEDVP,No,No,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,No,No
9867-JCZSP,No internet service,Yes,Yes,Yes,No,No,No,No,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
4671-VJLCL,Yes,Yes,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Yes,No
4080-IIARD,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,No
3714-NTNFO,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,No,Yes
5948-UJZLF,No,Yes,Yes,No,No,No,DSL,No,No,Yes,Yes,No,No,No,No
7760-OYPDY,No,No,Yes,No,No,No,Fiber optic,Yes,No,No,No,No,Yes,No,No
7639-LIAYI,Yes,No,Yes,No,Yes,No,DSL,No,Yes,Yes,No,No,Yes,No,Yes
2954-PIBKO,Yes,Yes,Yes,No,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Yes,No
8012-SOUDQ,No,Yes,Yes,No,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,No,No
9420-LOJKX,No,Yes,Yes,No,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes
6575-SUVOI,Yes,Yes,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,No
7495-OOKFY,No,Yes,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,No,No
4667-QONEA,Yes,Yes,Yes,Yes,No,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Yes
1658-BYGOY,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,No,Yes
8769-KKTPH,No,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes
5067-XJQFU,Yes,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Yes,Yes
3957-SQXML,No internet service,Yes,Yes,Yes,Yes,No,No,No,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
5954-BDFSG,Yes,Yes,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes
0434-CSFON,No,No,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes
1215-FIGMP,No,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,No
0526-SXDJP,No,Yes,No,Yes,No phone service,Yes,DSL,No,Yes,No,Yes,Yes,No,Yes,No
0557-ASKVU,Yes,No,Yes,No,No,Yes,DSL,No,No,No,No,Yes,No,Yes,No
5698-BQJOH,No,No,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,No,Yes
5122-CYFXA,Yes,Yes,Yes,No,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No,Yes
8627-ZYGSZ,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,No,No
3410-YOQBQ,Yes,Yes,Yes,No,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes
3170-NMYVV,No internet service,Yes,Yes,No,No,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
7410-OIEDU,No,No,Yes,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,No
2273-QCKXA,Yes,No,Yes,Yes,No,No,DSL,Yes,No,No,No,No,No,No,No
0731-EBJQB,No internet service,No,Yes,Yes,No,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
1891-QRQSA,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes
8028-PNXHQ,No internet service,No,Yes,No,Yes,No,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
5630-AHZIL,Yes,Yes,Yes,Yes,No,No,DSL,No,Yes,No,No,Yes,No,No,Yes
2673-CXQEU,No,No,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
6416-JNVRK,No,Yes,Yes,No,No,No,DSL,No,No,Yes,No,No,No,No,Yes
5590-ZSKRV,No,Yes,Yes,Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,No,No
0191-ZHSKZ,No,No,Yes,No,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Yes
3887-PBQAO,No internet service,Yes,Yes,Yes,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
5919-TMRGD,No,No,Yes,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,Yes,No,No
8108-UXRQN,No,Yes,No,No,No phone service,Yes,DSL,Yes,Yes,No,No,No,Yes,No,Yes
9191-MYQKX,No,No,Yes,No,No,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,No
9919-YLNNG,Yes,No,Yes,Yes,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes
0318-ZOPWS,No internet service,Yes,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
4445-ZJNMU,No,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,No,Yes
4808-YNLEU,No,Yes,Yes,No,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,No,No
